name,phone,website,googlemaps_link,category,zone
Erode Textile Mall Ltd,"
096980 61000",http://www.texvalleyindia.com/,"https://www.google.com/maps/place/Erode+Textile+Mall+Ltd/@11.6526184,77.9906166,11z/data=!4m10!1m2!2m1!1stextile++in+Erode!3m6!1s0x3ba96f36d2115b1b:0x34f11cef2b3392b!8m2!3d11.3490534!4d77.7168984!15sChF0ZXh0aWxlICBpbiBFcm9kZVoSIhB0ZXh0aWxlIGluIGVyb2RlkgEQY29ycG9yYXRlX29mZmljZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOd2NHVnVWMGRCRUFF4AEA-gEECAAQDw!16s%2Fg%2F11b63vxrbw?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",textile ,Erode
sri balaji textiles,"
090037 29267",,"https://www.google.com/maps/place/Erode+Textile+Mall+Ltd/@11.3490534,77.4120278,11z/data=!4m10!1m2!2m1!1stextile++in+Erode!3m6!1s0x3ba96f36d2115b1b:0x34f11cef2b3392b!8m2!3d11.3490534!4d77.7168984!15sChF0ZXh0aWxlICBpbiBFcm9kZVoSIhB0ZXh0aWxlIGluIGVyb2RlkgEQY29ycG9yYXRlX29mZmljZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOd2NHVnVWMGRCRUFF4AEA-gEECAAQDw!16s%2Fg%2F11b63vxrbw?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",textile ,Erode
S Fabs | Fabric Wholesale | Fabric Shop | All types of Fabric Manufacturer,"
087788 34987",https://www.instagram.com/sfabserode/,"https://www.google.com/maps/place/sri+balaji+textiles/@11.3490534,77.4120278,11z/data=!4m10!1m2!2m1!1stextile++in+Erode!3m6!1s0x3ba96f2565c12f11:0x44d09ac92e9ada87!8m2!3d11.3491688!4d77.7033235!15sChF0ZXh0aWxlICBpbiBFcm9kZVoSIhB0ZXh0aWxlIGluIGVyb2RlkgEMdGV4dGlsZV9taWxsmgEkQ2hkRFNVaE5NRzluUzBWUU5sTnJTVmg2YW05UVEzSlJSUkFC4AEA-gEECAAQOg!16s%2Fg%2F11t3gts76d?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",textile ,Erode
"Manas Matching Centre - Fabrics, Materials, Readymades and Innerwear/Lingerie","
078069 24740",,"https://www.google.com/maps/place/S+Fabs+%7C+Fabric+Wholesale+%7C+Fabric+Shop+%7C+All+types+of+Fabric+Manufacturer/@11.3490534,77.4120278,11z/data=!4m10!1m2!2m1!1stextile++in+Erode!3m6!1s0x3ba96f277efc7f01:0xf927c9a1c446af79!8m2!3d11.342939!4d77.7054214!15sChF0ZXh0aWxlICBpbiBFcm9kZVoSIhB0ZXh0aWxlIGluIGVyb2RlkgEMZmFicmljX3N0b3Jl4AEA!16s%2Fg%2F11l799_z3c?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",textile ,Erode
S.Kumaran Textiles - Manufacturer of Hotel & Hospital Linens in Erode,"
094430 27475",https://skumarantextileserode.com/,"https://www.google.com/maps/place/Manas+Matching+Centre+-+Fabrics,+Materials,+Readymades+and+Innerwear%2FLingerie/@11.3490534,77.4120278,11z/data=!4m10!1m2!2m1!1stextile++in+Erode!3m6!1s0x3ba96f161c95e32b:0x37644ead46f2374b!8m2!3d11.3344626!4d77.715861!15sChF0ZXh0aWxlICBpbiBFcm9kZVoSIhB0ZXh0aWxlIGluIGVyb2RlkgEMZmFicmljX3N0b3Jl4AEA!16s%2Fg%2F11b6md_m49?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",textile ,Erode
"SRI SHAKTHI TEX - Melange, Rotto, Bag cotton fabrics, White shirting fabrics, Bedsheets, fabric wholesale shop erode","
097873 10101",http://www.srishakthitex.in/,"https://www.google.com/maps/place/S.Kumaran+Textiles+-+Manufacturer+of+Hotel+%26+Hospital+Linens+in+Erode/@11.3490534,77.4120278,11z/data=!4m10!1m2!2m1!1stextile++in+Erode!3m6!1s0x3ba9690e3936ab4d:0x41d2eb4f7604aa06!8m2!3d11.3592501!4d77.6955814!15sChF0ZXh0aWxlICBpbiBFcm9kZVoSIhB0ZXh0aWxlIGluIGVyb2RlkgEMbGluZW5zX3N0b3Jl4AEA!16s%2Fg%2F11h2bclmbb?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",textile ,Erode
South Street Textiles,"
063827 19279",http://www.southstreettextiles.com/,"https://www.google.com/maps/place/SRI+SHAKTHI+TEX+-+Melange,+Rotto,+Bag+cotton+fabrics,+White+shirting+fabrics,+Bedsheets,+fabric+wholesale+shop+erode/@11.3490534,77.4120278,11z/data=!4m10!1m2!2m1!1stextile++in+Erode!3m6!1s0x3ba96f38c0e81141:0x12fd26623d8c9512!8m2!3d11.3418224!4d77.7220776!15sChF0ZXh0aWxlICBpbiBFcm9kZVoSIhB0ZXh0aWxlIGluIGVyb2RlkgERZmFicmljX3dob2xlc2FsZXLgAQA!16s%2Fg%2F11c0xh8xx4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",textile ,Erode
"SRI SHAKTHI TEX - Melange, Rotto, Bag cotton fabrics, White shirting fabrics, Bedsheets, fabric wholesale shop erode","
097873 10101",http://www.srishakthitex.in/,"https://www.google.com/maps/place/SRI+SHAKTHI+TEX+-+Melange,+Rotto,+Bag+cotton+fabrics,+White+shirting+fabrics,+Bedsheets,+fabric+wholesale+shop+erode/@11.3673827,77.669981,13z/data=!4m10!1m2!2m1!1stextiles+in+Erode!3m6!1s0x3ba96f38c0e81141:0x12fd26623d8c9512!8m2!3d11.3418224!4d77.7220776!15sChF0ZXh0aWxlcyBpbiBFcm9kZVoTIhF0ZXh0aWxlcyBpbiBlcm9kZZIBEWZhYnJpY193aG9sZXNhbGVy4AEA!16s%2Fg%2F11c0xh8xx4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",textiles,Erode
S.Kumaran Textiles - Manufacturer of Hotel & Hospital Linens in Erode,"
094430 27475",https://skumarantextileserode.com/,"https://www.google.com/maps/place/SRI+SHAKTHI+TEX+-+Melange,+Rotto,+Bag+cotton+fabrics,+White+shirting+fabrics,+Bedsheets,+fabric+wholesale+shop+erode/@11.3673827,77.669981,13z/data=!4m10!1m2!2m1!1stextiles+in+Erode!3m6!1s0x3ba96f38c0e81141:0x12fd26623d8c9512!8m2!3d11.3418224!4d77.7220776!15sChF0ZXh0aWxlcyBpbiBFcm9kZVoTIhF0ZXh0aWxlcyBpbiBlcm9kZZIBEWZhYnJpY193aG9sZXNhbGVy4AEA!16s%2Fg%2F11c0xh8xx4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",textiles,Erode
sri balaji textiles,"
090037 29267",,"https://www.google.com/maps/place/S.Kumaran+Textiles+-+Manufacturer+of+Hotel+%26+Hospital+Linens+in+Erode/@11.3673827,77.669981,13z/data=!4m10!1m2!2m1!1stextiles+in+Erode!3m6!1s0x3ba9690e3936ab4d:0x41d2eb4f7604aa06!8m2!3d11.3592501!4d77.6955814!15sChF0ZXh0aWxlcyBpbiBFcm9kZVoTIhF0ZXh0aWxlcyBpbiBlcm9kZZIBDGxpbmVuc19zdG9yZeABAA!16s%2Fg%2F11h2bclmbb?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",textiles,Erode
